# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 210:         4.430       52.171      -0.20  VALKENBURG
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,    T,   SQ,    Q,   DR,    N
# 
  210,20121101,    1,  160,   50,   79,    0,    0,    0,    5
  210,20121101,    2,  150,   40,   73,    0,    0,    0,    8
  210,20121101,    3,  150,   50,   79,    0,    0,    0,    3
  210,20121101,    4,  140,   50,   73,    0,    0,    0,    7
  210,20121101,    5,  140,   50,   70,    0,    0,    0,    8
  210,20121101,    6,  140,   50,   76,    0,    0,    0,    6
  210,20121101,    7,  140,   60,   78,    0,    1,    0,    7
  210,20121101,    8,  170,   70,   91,    0,    7,    0,    8
  210,20121101,    9,  170,   80,   89,    0,    9,    6,    8
  210,20121101,   10,  170,   80,   91,    0,   12,   10,    8
  210,20121101,   11,  190,   80,   98,    1,   41,    5,    8
  210,20121101,   12,  210,   70,  104,    0,   36,    0,    8
  210,20121101,   13,  210,   70,  103,    1,   49,    0,    5
  210,20121101,   14,  220,   70,  102,    1,   51,    0,    8
  210,20121101,   15,  210,   80,   98,    7,   51,    0,    1
  210,20121101,   16,  210,   80,   88,    2,   11,    0,    3
  210,20121101,   17,  210,   70,   80,    0,    0,    0,    3
  210,20121101,   18,  200,   70,   76,    0,    0,    0,    2
  210,20121101,   19,  200,   70,   74,    0,    0,    4,    7
  210,20121101,   20,  250,   60,   84,    0,    0,    3,    4
  210,20121101,   21,  250,  100,   88,    0,    0,    0,    7
  210,20121101,   22,  220,   70,   76,    0,    0,    2,    8
  210,20121101,   23,  180,   60,   68,    0,    0,    2,    7
  210,20121101,   24,  210,   60,   76,    0,    0,    1,    5
  210,20121102,    1,  210,   70,   71,    0,    0,    0,    6
  210,20121102,    2,  210,   80,   64,    0,    0,    0,    0
  210,20121102,    3,  210,   80,   56,    0,    0,    0,    1
  210,20121102,    4,  200,   80,   57,    0,    0,    0,    3
  210,20121102,    5,  200,   90,   61,    0,    0,    4,    7
  210,20121102,    6,  200,   90,   62,    0,    0,    3,    8
  210,20121102,    7,  210,  100,   64,    0,    1,    6,    7
  210,20121102,    8,  210,   90,   66,    7,   21,    0,    6
  210,20121102,    9,  210,   90,   70,    2,   45,    0,    4
  210,20121102,   10,  220,   90,   77,    8,   83,    0,    7
  210,20121102,   11,  210,   80,   80,    7,   84,    0,    2
  210,20121102,   12,  210,   90,   77,    6,  105,    0,    5
  210,20121102,   13,  210,   80,   82,    5,   72,    0,    7
  210,20121102,   14,  200,   70,   85,    0,   41,    0,    7
  210,20121102,   15,  200,   70,   84,    0,   19,    0,    7
  210,20121102,   16,  190,   60,   73,    0,    4,    4,    7
  210,20121102,   17,  190,   40,   72,    0,    0,    0,    6
  210,20121102,   18,  190,   40,   62,    0,    0,    0,    3
  210,20121102,   19,  190,   50,   61,    0,    0,    0,    1
  210,20121102,   20,  200,   50,   62,    0,    0,    0,    1
  210,20121102,   21,  210,   50,   73,    0,    0,    0,    7
  210,20121102,   22,  200,   50,   68,    0,    0,    0,    4
  210,20121102,   23,  200,   50,   66,    0,    0,    0,    4
  210,20121102,   24,  200,   60,   64,    0,    0,    0,    0
  210,20121103,    1,  200,   50,   63,    0,    0,    0,    0
  210,20121103,    2,  200,   50,   63,    0,    0,    0,    0
  210,20121103,    3,  200,   50,   63,    0,    0,    0,    1
  210,20121103,    4,  200,   40,   67,    0,    0,    0,    8
  210,20121103,    5,  180,   40,   59,    0,    0,    0,    1
  210,20121103,    6,  180,   40,   59,    0,    0,    0,    4
  210,20121103,    7,  190,   40,   59,    0,    0,    0,    7
  210,20121103,    8,  170,   40,   63,    0,   15,    0,    7
  210,20121103,    9,  170,   40,   69,    0,   29,    0,    7
  210,20121103,   10,  190,   50,   75,    0,   19,    0,    8
  210,20121103,   11,  180,   60,   76,    0,   31,    5,    8
  210,20121103,   12,  210,   50,   73,    0,   17,   10,    8
  210,20121103,   13,  210,   40,   78,    2,   24,    5,    8
  210,20121103,   14,  220,   60,   90,    3,   59,    0,    7
  210,20121103,   15,  220,   80,   92,    8,   49,    0,    1
  210,20121103,   16,  240,  100,   95,    3,   13,    0,    6
  210,20121103,   17,  250,  110,   91,    0,    0,    0,    5
  210,20121103,   18,  250,  100,   89,    0,    0,    0,    6
  210,20121103,   19,  250,   90,   88,    0,    0,    0,    7
  210,20121103,   20,  270,   80,   83,    0,    0,    0,    5
  210,20121103,   21,  260,   50,   84,    0,    0,    0,    7
  210,20121103,   22,  190,   30,   75,    0,    0,    2,    7
  210,20121103,   23,  210,   50,   72,    0,    0,    0,    5
  210,20121103,   24,  220,   60,   72,    0,    0,    0,    8
  210,20121104,    1,  220,   40,   62,    0,    0,    0,    3
  210,20121104,    2,  180,   30,   49,    0,    0,    0,    0
  210,20121104,    3,  190,   40,   52,    0,    0,    0,    0
  210,20121104,    4,  190,   40,   47,    0,    0,    0,    0
  210,20121104,    5,  170,   30,   42,    0,    0,    0,    0
  210,20121104,    6,  170,   40,   42,    0,    0,    0,    0
  210,20121104,    7,  140,   30,   37,    0,    0,    0,    0
  210,20121104,    8,  150,   30,   40,    7,   25,    0,    1
  210,20121104,    9,  140,   40,   49,    3,   45,    0,    8
  210,20121104,   10,  130,   40,   57,    0,   38,    0,    8
  210,20121104,   11,  130,   40,   73,    0,   38,    0,    8
  210,20121104,   12,  130,   50,   74,    0,   25,    0,    8
  210,20121104,   13,  120,   40,   72,    0,   14,    6,    8
  210,20121104,   14,  120,   30,   68,    0,    4,   10,    8
  210,20121104,   15,  110,   40,   67,    0,   14,   10,    8
  210,20121104,   16,  120,   40,   67,    0,    2,    5,    8
  210,20121104,   17,  210,   60,   84,    0,    0,    9,    8
  210,20121104,   18,  220,   80,   88,    0,    0,    0,    6
  210,20121104,   19,  230,  100,   89,    0,    0,    0,    8
  210,20121104,   20,  220,   90,   84,    0,    0,    0,    8
  210,20121104,   21,  220,   80,   84,    0,    0,    0,    8
  210,20121104,   22,  210,   70,   85,    0,    0,    0,    8
  210,20121104,   23,  220,   60,   89,    0,    0,    0,    8
  210,20121104,   24,  220,   70,   91,    0,    0,    0,    8
  210,20121105,    1,  220,   70,   90,    0,    0,    0,    8
  210,20121105,    2,  330,   40,   73,    0,    0,    6,    8
  210,20121105,    3,  170,   20,   68,    0,    0,    8,    8
  210,20121105,    4,  260,   20,   64,    0,    0,    5,    8
  210,20121105,    5,  260,   20,   63,    0,    0,    8,    8
  210,20121105,    6,  360,   20,   73,    0,    0,    7,    8
  210,20121105,    7,   30,   20,   73,    0,    0,   10,    8
  210,20121105,    8,   30,   20,   68,    0,   12,    7,    7
  210,20121105,    9,  340,   10,   82,    0,   31,    0,    8
  210,20121105,   10,  350,   20,   97,    3,   66,    0,    7
  210,20121105,   11,  330,   30,   96,    4,   72,    1,    4
  210,20121105,   12,   20,   50,   97,    4,   74,    0,    6
  210,20121105,   13,  350,   40,   95,    5,   89,    0,    2
  210,20121105,   14,  330,   50,   98,    4,   54,    0,    1
  210,20121105,   15,  320,   50,   89,    7,   41,    0,    7
  210,20121105,   16,  330,   30,   82,    0,    8,    0,    7
  210,20121105,   17,  310,   40,   72,    0,    0,    2,    7
  210,20121105,   18,  330,   40,   77,    0,    0,    3,    3
  210,20121105,   19,  320,   40,   79,    0,    0,    1,    5
  210,20121105,   20,  320,   40,   77,    0,    0,    1,    1
  210,20121105,   21,  330,   50,   83,    0,    0,    0,    2
  210,20121105,   22,  340,   40,   81,    0,    0,    1,    5
  210,20121105,   23,  340,   40,   78,    0,    0,    0,    3
  210,20121105,   24,  350,   50,   80,    0,    0,    0,    1
  210,20121106,    1,  330,   50,   77,    0,    0,    0,    1
  210,20121106,    2,  340,   50,   86,    0,    0,    0,    1
  210,20121106,    3,  350,   50,   85,    0,    0,    0,    4
  210,20121106,    4,  340,   40,   88,    0,    0,    0,    5
  210,20121106,    5,  340,   50,   73,    0,    0,    1,    1
  210,20121106,    6,  340,   20,   74,    0,    0,    0,    7
  210,20121106,    7,  310,   30,   63,    0,    1,    0,    5
  210,20121106,    8,  300,   30,   86,   10,   25,    0,    3
  210,20121106,    9,  230,   30,   84,    3,   41,    1,    6
  210,20121106,   10,  280,   60,  100,    6,   66,    0,    5
  210,20121106,   11,  270,   80,   97,    7,   84,    0,    3
  210,20121106,   12,  260,   90,   99,    9,  102,    0,    6
  210,20121106,   13,  250,   90,   97,    7,   86,    0,    8
  210,20121106,   14,  260,   90,   93,    0,   40,    0,    8
  210,20121106,   15,  260,  100,   94,    0,   14,    0,    8
  210,20121106,   16,  250,   90,   87,    0,    4,    6,    8
  210,20121106,   17,  250,  100,   88,    0,    0,   10,    8
  210,20121106,   18,  260,  100,   93,    0,    0,   10,    8
  210,20121106,   19,  260,  100,   92,    0,    0,   10,    8
  210,20121106,   20,  270,  100,   99,    0,    0,   10,    8
  210,20121106,   21,  280,   90,  100,    0,    0,   10,    8
  210,20121106,   22,  280,   80,  104,    0,    0,   10,    8
  210,20121106,   23,  290,   80,  105,    0,    0,   10,    8
  210,20121106,   24,  290,   70,  107,    0,    0,    0,    8
  210,20121107,    1,  300,   70,  109,    0,    0,    4,    8
  210,20121107,    2,  300,   70,  111,    0,    0,    0,    8
  210,20121107,    3,  300,   60,  111,    0,    0,    0,    8
  210,20121107,    4,  290,   60,  109,    0,    0,    0,    8
  210,20121107,    5,  300,   60,  109,    0,    0,    1,    8
  210,20121107,    6,  280,   50,  110,    0,    0,    0,    8
  210,20121107,    7,  280,   60,  106,    0,    0,    0,    8
  210,20121107,    8,  270,   60,  106,    0,    6,    0,    8
  210,20121107,    9,  270,   60,  107,    0,   14,    0,    8
  210,20121107,   10,  260,   60,  106,    0,   29,    0,    8
  210,20121107,   11,  260,   70,  105,    0,   25,    0,    8
  210,20121107,   12,  260,   80,  105,    0,   34,    0,    8
  210,20121107,   13,  260,   80,  106,    2,   42,    0,    8
  210,20121107,   14,  250,   70,  103,    1,   43,    0,    7
  210,20121107,   15,  250,   70,  101,    0,   26,    0,    8
  210,20121107,   16,  250,   80,   98,    2,    6,    0,    7
  210,20121107,   17,  240,   80,  101,    0,    0,    0,    7
  210,20121107,   18,  240,   80,  102,    0,    0,    0,    8
  210,20121107,   19,  240,   70,  103,    0,    0,    0,    8
  210,20121107,   20,  250,   80,  105,    0,    0,    0,    8
  210,20121107,   21,  260,   80,  104,    0,    0,    0,    8
  210,20121107,   22,  250,   80,  103,    0,    0,    0,    8
  210,20121107,   23,  250,   90,  104,    0,    0,    0,    8
  210,20121107,   24,  260,   90,  104,    0,    0,    0,    8
  210,20121108,    1,  240,   80,  103,    0,    0,    0,    8
  210,20121108,    2,  240,   90,  104,    0,    0,    0,    8
  210,20121108,    3,  240,   90,  104,    0,    0,    0,    8
  210,20121108,    4,  240,   90,  106,    0,    0,    0,    8
  210,20121108,    5,  250,   90,  107,    0,    0,    0,    8
  210,20121108,    6,  250,   90,  107,    0,    0,    0,    8
  210,20121108,    7,  250,   80,  106,    0,    0,    0,    8
  210,20121108,    8,  250,   80,  108,    0,    2,    0,    8
  210,20121108,    9,  250,   80,  109,    0,   16,    0,    8
  210,20121108,   10,  250,   70,  112,    0,   39,    0,    8
  210,20121108,   11,  250,   80,  115,    4,   62,    0,    8
  210,20121108,   12,  260,   90,  115,    8,   76,    0,    7
  210,20121108,   13,  270,   80,  114,    0,   51,    0,    8
  210,20121108,   14,  260,   80,  113,    0,   48,    0,    7
  210,20121108,   15,  270,   80,  111,    8,   46,    0,    7
  210,20121108,   16,  250,   60,  110,    3,    9,    0,    8
  210,20121108,   17,  280,   60,  108,    0,    0,    0,    8
  210,20121108,   18,  280,   60,  103,    0,    0,    8,    8
  210,20121108,   19,  290,   50,  106,    0,    0,    0,    8
  210,20121108,   20,  280,   40,  107,    0,    0,    0,    8
  210,20121108,   21,  280,   50,  108,    0,    0,    0,    8
  210,20121108,   22,  260,   40,  105,    0,    0,    0,    8
  210,20121108,   23,  280,   40,  108,    0,    0,    0,    8
